Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;conejos-2.4;6C:CD:D6:8A:FE:4F;;10;No;WPA2,AES-CCM;No;260.0;0;7;0;0;0;0;0;;;Sat Aug 26 16:29:22 2023;Sat Aug 26 16:29:29 2023;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Kikolola_EXT_EXT;84:D8:1B:17:77:C8;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;5;0;0;0;0;0;;;Sat Aug 26 16:29:22 2023;Sat Aug 26 16:29:29 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;6F9DCB-2.4;E0:DB:D1:6F:9D:D0;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Sat Aug 26 16:29:23 2023;Sat Aug 26 16:29:30 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;TMOBILE-3D81;B0:FC:88:E3:3D:86;;1;No;WPA3,AES-CCM,SAE;No;720.0;0;8;0;0;0;0;0;;;Sat Aug 26 16:29:23 2023;Sat Aug 26 16:29:30 2023;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Zeus;60:6C:63:D1:F6:D8;;6;No;WPA2,AES-CCM;No;195.0;0;5;0;0;0;0;0;;;Sat Aug 26 16:29:23 2023;Sat Aug 26 16:29:30 2023;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;6A:6C:63:D1:F6:D8;;6;No;WPA2,AES-CCM;No;195.0;0;6;0;0;0;0;0;;;Sat Aug 26 16:29:23 2023;Sat Aug 26 16:29:30 2023;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Elwifidetuvieja;AA:DB:03:73:3D:01;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sat Aug 26 16:29:25 2023;Sat Aug 26 16:29:29 2023;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;D2:B4:F7:C4:DB:5C;;6;No;WPA2,AES-CCM;No;360.0;0;3;0;0;0;0;0;;;Sat Aug 26 16:29:26 2023;Sat Aug 26 16:29:29 2023;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;F2:B4:F7:C4:DB:5C;;6;No;WPA2,AES-CCM;No;360.0;0;3;0;0;0;0;0;;;Sat Aug 26 16:29:26 2023;Sat Aug 26 16:29:29 2023;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Zeus;E2:B4:F7:C4:DB:5C;;6;No;WPA2,AES-CCM;No;360.0;0;3;0;0;0;0;0;;;Sat Aug 26 16:29:26 2023;Sat Aug 26 16:29:29 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;6E:6C:63:D1:F6:D8;;6;No;WPA2,AES-CCM;No;195.0;0;3;0;0;0;0;0;;;Sat Aug 26 16:29:26 2023;Sat Aug 26 16:29:29 2023;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
